Fecha-Hora,Temperatura °C,Humedad %,CO2 (ppm)
05/22/2024 11:16:00,22.3,51.3,707
05/23/2024 10:55:00,21.7,38.5,494
05/24/2024 12:13:00,21,50.1,711
05/27/2024 10:02:00,20.2,49,607
05/28/2024 09:26:00,21,45,722
05/29/2024 15:41:00,22,47,1423
05/31/2024 10:38:00,20,44,862
06/03/2024 15:12:00,20,44,917
06/05/2024 10:01:00,21,52,752
06/07/2024 11:11:00,21,55,3975
06/10/2024 13:57:00,20.2,48,2116
06/11/2024 11:11:00,19,58,510
06/12/2024 12:37:00,20,55,1643
06/14/2024 12:07:00,19,51,939
06/17/2024 13:05:00,18,48,1533
06/19/2024 16:06:00,19,52,1522
06/24/2024 11:10:00,18,63,440
06/25/2024 10:25:00,18,51,554
06/28/2024 12:53:00,26,37,4096
07/01/2024 16:05:00,27,35,774
07/03/2024 17:26:00,26,33,631
07/04/2024 17:46:00,26,35,1588
07/05/2024 10:34:00,26,43,617
07/08/2024 11:30:00,26,28,449
07/11/2024 16:17:00,25,52,442
07/12/2024 15:40:00,25,40,2319
07/17/2024 14:41:00,24,42,508
07/22/2024 17:45:00,23,33,2094
07/23/2024 13:21:00,24,51,1892
07/25/2024 14:38:00,24,33,2281
07/28/2024 18:39:00,24,35,961
07/30/2024 17:30:00,24,65,2259
07/31/2024 16:35:00,24,53,2413
08/01/2024 17:30:00,24,53,444
08/05/2024 17:44:00,24,47,443
08/06/2024 16:35:00,23,58,1751
08/07/2024 15:21:00,21,38,2270
08/08/2024 19:14:00,23,38,2083
08/09/2024 16:32:00,22,34,1896
08/14/2024 15:47:00,23,47,2501
08/16/2024 15:09:00,23,46,1828
08/19/2024 13:30:00,23,38,1621
08/19/2024 16:17:00,23,49,532
08/21/2024 19:33:00,23,42,444
08/22/2024 15:36:00,22,37,2930
08/23/2024 13:25:00,21,56,2722
08/26/2024 13:23:00,21,38,3051
