Nº SAG,NOMBRE COMERCIAL ,APTITUD,SERIE,FORMULACIÓN (CÓDIGO),FORMULADO EN QUE SE BASA,INGREDIENTE ACTIVO EN QUE SE BASA,TOXICIDAD (CÓDIGO),TOXICIDAD PECES Y ALGAS,TOXICIDAD AVES,TOXICIDAD ABEJAS,INFLAMABLE,CORROSIVO,EXPLOSIVO,MODO DE ACCIÓN,TIPO DE PLAGUICIDA (NATURAL),REPRESENTANTE LEGAL,TITULAR AUTORIZACIÓN,FECHA PRIMERA AUTORIZACION,FECHA VENCIMIENTO,NORMA DE AUTORIZACION,SITUACION ,PAIS DE DESTINO (SOLO EXPORTACION)
1002,ACTELLIC AGRO,INSECTICIDA - ACARICIDA,1000 Insecticida,Concentrado Emulsionable (EC),NO APLICA,NO APLICA,II (Moderadamente Peligroso),Tóxico,Tóxico,Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión e inhalación",,Pedro Donoso Maslov,SYNGENTA S.A.,03/18/1985,10/10/2027,1178/1984,VIGENTE,NO APLICA
1004,PIRIMOR,INSECTICIDA,1000 Insecticida,Granulado Dispersable (WG),NO APLICA,NO APLICA,II (Moderadamente Peligroso),Muy Tóxico,Tóxico,No tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"contacto, fumigante y movimiento translaminar",,Pedro Donoso Maslov,SYNGENTA S.A.,03/18/1985,10/11/2026,1178/1984,VIGENTE,NO APLICA
1021,CITROLIV MISCIBLE,INSECTICIDA - ACARICIDA - COADYUVANTE,1000 Insecticida,Concentrado Emulsionable (EC),,NO APLICA,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,Felipe Schneider Bornemann,BASF CHILE S.A.,03/22/1985,06/08/2027,1178/1984,VIGENTE,NO APLICA
1048,SELECRON 720 EC,INSECTICIDA - ACARICIDA,1000 Insecticida,Concentrado Emulsionable (EC),NO APLICA,NO APLICA,II (Moderadamente Peligroso),Muy Tóxico,Tóxico,Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión y translaminar",,Pedro Donoso Maslov,SYNGENTA S.A.,04/02/1985,08/07/2028,1178/1984,VIGENTE,NO APLICA
1072,ORTHENE 75 SP,INSECTICIDA,1000 Insecticida,Polvo Soluble (PS),NO APLICA,NO APLICA,III (Poco Peligroso),Baja Toxicidad,Baja Toxicidad,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,04/12/2000,04/12/2030,3670/1999,VIGENTE,NO APLICA
1073,ORTHENE 80 ST,INSECTICIDA,1000 Insecticida,Polvo Soluble (PS),NO APLICA,NO APLICA,III (Poco Peligroso),Baja Toxicidad,Moderadamente Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y de contacto,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,04/12/2000,04/12/2030,3670/1999,VIGENTE,NO APLICA
1074,OMITE 30 WP,ACARICIDA,1000 Insecticida,Polvo Mojable (WP),NO APLICA,NO APLICA,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Ligeramente Tóxico,No Peligroso,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, antialimentario y de gasificación",,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,04/12/2000,04/12/2030,3670/1999,VIGENTE,NO APLICA
1075,PERFEKTHION,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),NO APLICA,NO APLICA,II (Moderadamente Peligroso),Tóxico,Tóxico,Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y de contacto,,JORGE NITSCHE MELI,BASF CHILE S.A.,04/12/2000,04/12/2025,3670/1999,VIGENTE,NO APLICA
1076,FURADAN 4 F,INSECTICIDA - NEMATICIDA,1000 Insecticida,Suspensión Concentrada (SC),NO APLICA,,I a (Sumamente Peligroso),Tóxico,Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,"FABIO RICARDO MORETTO
LUIS GONZALO VIOLLIER SALAS",CHEMINOVA CHILE LTDA.,02/09/2007,02/09/2022,3670/1999,CANCELADO,
1084,VYDATE L,INSECTICIDA - ACARICIDA - NEMATICIDA,1000 Insecticida,Concentrado Soluble (SL),NO APLICA,NO APLICA,I b (Muy Peligroso),Tóxico,Tóxico,Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,04/15/1985,04/15/2030,1178/1984,VIGENTE,NO APLICA
1085,PHOSTOXIN TABLETAS,FUMIGANTE,1000 Insecticida,Tabletas Generadoras de Gas (GE),NO APLICA,NO APLICA,I a (Sumamente Peligroso),Muy Tóxico,Extremadamente Tóxico,Extremadamente Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Fumigante,,"ALEX HERRERA ALARCÓN 
HÉCTOR MARTÍNEZ BENGOECHEA",DEGESCH DE CHILE LTDA.,04/17/1985,01/20/2029,1178/1984,VIGENTE,NO APLICA
1086,PHOSTOXIN PELLETS,INSECTICIDA - ACARICIDA,1000 Insecticida,Pellets Generadoras de Gas (GE),NO APLICA,NO APLICA,I a (Sumamente Peligroso),Muy Tóxico,Extremadamente Tóxico,Extremadamente Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Fumigante,,"ALEX HERRERA ALARCÓN 
HÉCTOR MARTÍNEZ BENGOECHEA",DEGESCH DE CHILE LTDA.,04/17/1985,01/20/2029,1178/1984,VIGENTE,
1087,MAGTOXIN TABLETA,INSECTICIDA -ACARICIDA,1000 Insecticida,Generador De Gas (GE),NO APLICA,NO APLICA,I a (Sumamente Peligroso),Muy Tóxico,Extremadamente Tóxico,Extremadamente Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Fumigante,,"ALEX HERRERA ALARCÓN 
HÉCTOR MARTÍNEZ BENGOECHEA",DEGESCH DE CHILE LTDA.,04/17/1985,01/20/2029,1178/1984,VIGENTE,
1088,MAGTOXIN PELLETS,INSECTICIDA - ACARICIDA,1000 Insecticida,Generador De Gas (GE),NO APLICA,NO APLICA,I a (Sumamente Peligroso),Muy Tóxico,Extremadamente Tóxico,Extremadamente Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Fumigante,,"ALEX HERRERA ALARCÓN 
HÉCTOR MARTÍNEZ BENGOECHEA",DEGESCH DE CHILE LTDA.,04/17/1985,01/20/2029,1178/1984,VIGENTE,
1090,PLACA DEGESCH,INSECTICIDA - ACARICIDA,1000 Insecticida,Generador De Gas (GE),NO APLICA,NO APLICA,I a (Sumamente Peligroso),Tóxico,Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Fumigante,,"ALEX HERRERA ALARCÓN 
HÉCTOR MARTÍNEZ BENGOECHEA",DEGESCH DE CHILE LTDA.,04/17/1985,02/08/2027,1178/1984,VIGENTE,
