tipo,temporada,fecha,tipo_producto,codigo_SACH,producto,pais,region,volumen,valor,precio
Exportaciones,2019,01/01/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Alemania,BioBio,40.8,129.3,3.1
Exportaciones,2019,01/01/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Alemania,Metropolitana,172.4,494.2,2.8
Exportaciones,2019,01/01/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Alemania,Ñuble,20.8,64.5,3
Exportaciones,2019,01/01/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Alemania,Valparaíso,44.4,143.9,3.2
Exportaciones,2019,01/01/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Japón,Maule,1.1,10.4,9
Exportaciones,2019,01/01/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Japón,Metropolitana,1.1,21.6,18.9
Exportaciones,2019,01/02/2019 0:00:00,Material vivo - Abejas Reinas,1064112,Abejas reinas (Apis mellifera) (desde 2017),Italia,Valparaíso,0.3,4.8,12.6
Exportaciones,2019,01/02/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Alemania,Metropolitana,65.3,200,3
Exportaciones,2019,01/02/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Bélgica,BioBio,20.4,74,3.6
Exportaciones,2019,01/02/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Rep. Checa,Valparaíso,42.5,117.7,2.7
Exportaciones,2019,01/03/2019 0:00:00,Material vivo - Paquetes abejas,1064190,"Las demás abejas, vivas (desde 2012)",Canadá,BioBio,5.4,39.2,7.2
Exportaciones,2019,01/03/2019 0:00:00,Material vivo - Paquetes abejas,1064190,"Las demás abejas, vivas (desde 2012)",Italia,Valparaíso,0.2,4.8,24.3
Exportaciones,2019,01/03/2019 0:00:00,Miel natural,4090090,Las demás mieles naturales (desde 2012),Alemania,BioBio,40.8,123.2,3
